Node,Divergence
0,0
1,55
2,165
3,9
4,-59
5,-109
6,-51
7,192
8,-640
9,300
10,64
11,18
12,-195
13,321
14,-230
15,-370
16,288
17,179
18,159
19,-45
20,-73
21,6
22,-535
23,169
24,355
25,-203
26,156
27,335
28,-171
29,523
30,-653
31,264
32,-61
33,1
34,159
35,78
36,-151
37,124
38,107
39,-22
40,-19
41,111
42,-471
43,-469
44,-91
45,142
46,281
47,-212
48,-459
49,185
50,122
51,147
52,-235
53,-569
54,-48
55,129
56,-790
57,247
58,-210
59,-356
60,184
61,-480
62,-13
63,-149
64,-167
65,27
66,248
67,-277
68,60
69,455
70,368
71,689
72,729
73,105
74,690
75,589
76,345
77,260
78,497
79,765
80,716
81,426
82,789
83,-4
84,0
85,0
86,6
87,0
88,-6
89,0
90,0
91,0
92,-1
93,2
94,-1
95,0
96,0
97,2
98,-4
99,0
100,0
101,0
102,0
103,0
104,-5
105,-8
106,0
107,1
108,-2
109,0
110,-3
111,0
112,0
113,0
114,0
115,0
116,-6
117,0
118,0
119,0
120,0
121,2
122,3
123,0
124,0
125,0
126,0
127,0
128,0
129,-1
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,-1
139,0
140,-3
141,0
142,-8
143,0
144,0
145,-2
146,0
147,0
148,-4
149,2
150,0
151,0
152,0
153,0
154,-5
155,-9
156,0
157,0
158,33
159,-1
160,47
161,44
162,42
163,29
164,27
165,37
166,22
167,32
168,28
169,-55
170,25
171,22
172,18
173,24
174,20
175,0
176,81
177,15
178,-1
179,0
180,37
181,13
182,-1
183,15
184,27
185,-1
186,-7
187,1
188,-10
189,9
190,-2
191,-17
192,-7
193,-10
194,-26
195,-30
196,-16
197,-17
198,-37
199,-21
200,-38
201,-37
202,-27
203,0
204,-29
205,-25
206,-41
207,-36
208,-37
209,-42
210,-33
211,-41
212,-127
213,-45
214,-49
215,-50
216,4
217,0
218,2
219,0
220,0
221,0
222,0
223,9
224,-2
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,9
233,0
234,0
235,2
236,0
237,4
238,3
239,-1
240,0
241,0
242,0
243,0
244,0
245,-3
246,-3
247,0
248,0
249,0
250,0
251,-3
252,-1
253,0
254,-1
255,-2
256,0
257,0
258,-1
259,0
260,-5
261,0
262,0
263,0
264,0
265,0
266,0
267,-5
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,5
281,3
282,1
283,2
284,-2
285,-3
286,-6
287,0
288,28
289,85
290,89
291,0
292,91
293,116
294,123
295,102
296,75
297,91
298,160
299,130
300,106
301,100
302,94
303,64
304,101
305,121
306,91
307,106
308,80
309,132
310,111
311,131
312,-24
313,84
314,139
315,7
316,27
317,61
318,81
319,52
320,52
321,60
322,49
323,87
324,17
325,27
326,45
327,57
328,62
329,67
330,67
331,42
332,2
333,-8
334,-4
335,26
336,-4
337,34
338,-37
339,2
340,9
341,-10
342,28
343,-16
344,-3
345,-33
346,-30
347,-8
348,9
349,-13
350,-27
351,-34
352,-38
353,-116
354,-57
355,-29
356,-46
357,-11
358,-66
359,792
360,859
361,581
362,-248
363,704
364,429
365,886
366,254
367,877
368,652
369,906
370,964
371,735
372,1026
373,991
374,801
375,950
376,853
377,324
378,453
379,844
380,924
381,812
382,1055
383,1063
384,9
385,940
386,933
387,571
388,571
389,1000
390,674
391,985
392,571
393,708
394,275
395,800
396,964
397,704
398,775
399,422
400,793
401,1012
402,972
403,458
404,577
405,640
406,793
407,510
408,309
409,881
410,636
411,942
412,690
413,824
414,1011
415,788
416,929
417,847
418,967
419,815
420,-635
421,1006
422,802
423,941
424,-203
425,864
426,822
427,813
428,182
429,865
430,728
431,787
432,732
433,876
434,763
435,796
436,832
437,925
438,382
439,890
440,553
441,-357
442,806
443,843
444,571
445,813
446,-121
447,810
448,607
449,366
450,573
451,797
452,274
453,576
454,600
455,754
456,-45
457,800
458,795
459,744
460,740
461,-53
462,-31
463,863
464,842
465,778
466,-22
467,464
468,829
469,698
470,361
471,583
472,701
473,911
474,330
475,662
476,447
477,538
478,313
479,588
480,861
481,1002
482,945
483,766
484,711
485,801
486,-934
487,740
488,316
489,-107
490,714
491,537
492,731
493,743
494,840
495,726
496,621
497,-1
498,412
499,680
500,792
501,623
502,746
503,284
504,500
505,775
506,514
507,49
508,-68
509,462
510,574
511,-465
512,482
513,445
514,293
515,-85
516,641
517,648
518,52
519,-3
520,83
521,0
522,5
523,17
524,4
525,-3
526,3
527,19
528,62
529,-1
530,0
531,190
532,0
533,5
534,-4
535,-68
536,0
537,1
538,-23
539,4
540,-6
541,-29
542,-1
543,8
544,78
545,77
546,-42
547,195
548,-47
549,4
550,49
551,11
552,0
553,0
554,-2
555,74
556,0
557,3
558,-8
559,49
560,0
561,9
562,76
563,0
564,20
565,75
566,2
567,39
568,0
569,4
570,0
571,30
572,29
573,3
574,31
575,118
576,11
577,67
578,54
579,5
580,109
581,22
582,10
583,114
584,0
585,0
586,22
587,15
588,0
589,127
590,34
591,62
592,0
593,54
594,0
595,9
596,17
597,0
598,90
599,1
600,50
601,4
602,56
603,74
604,5
605,8
606,133
607,32
608,109
609,19
610,4
611,58
612,17
613,76
614,14
615,7
616,27
617,72
618,26
619,24
620,13
621,103
622,126
623,0
624,0
625,0
626,-1
627,4
628,-4
629,7
630,7
631,4
632,-7
633,-8
634,69
635,0
636,0
637,0
638,0
639,0
640,41
641,-6
642,80
643,18
644,14
645,-16
646,0
647,0
648,-4
649,1
650,-10
651,-14
652,-4
653,20
654,1
655,-15
656,-11
657,39
658,48
659,36
660,37
661,-5
662,-18
663,-18
664,96
665,73
666,82
667,67
668,-43
669,75
670,60
671,67
672,74
673,58
674,68
675,58
676,29
677,57
678,60
679,50
680,46
681,-278
682,66
683,51
684,46
685,46
686,50
687,40
688,160
689,34
690,29
691,25
692,26
693,27
694,1
695,24
696,8
697,26
698,20
699,17
700,12
701,8
702,-72
703,7
704,8
705,-6
706,1
707,77
708,-20
709,-8
710,-5
711,0
712,-1
713,-26
714,-11
715,-9
716,-30
717,-42
718,-28
719,-39
720,-22
721,-15
722,-6
723,-23
724,-19
725,-14
726,-43
727,-45
728,-34
729,8
730,-39
731,-39
732,-58
733,-51
734,-60
735,-38
736,-47
737,-55
738,-59
739,-43
740,-58
741,-67
742,-81
743,-56
744,-79
745,-71
746,-70
747,-65
748,-68
749,-62
750,-88
751,-49
752,-89
753,-80
754,-90
755,-100
756,-253
757,-296
758,603
759,-969
760,-102
761,628
762,743
763,-445
764,786
765,874
766,816
767,681
768,977
769,1
770,-187
771,698
772,951
773,817
774,726
775,903
776,749
777,508
778,763
779,576
780,658
781,-201
782,430
783,747
784,673
785,84
786,554
787,89
788,515
789,793
790,572
791,117
792,40
793,-9
794,259
795,-175
796,312
797,424
798,-603
799,652
800,310
801,167
802,740
803,327
804,-85
805,648
806,-472
807,640
808,515
809,84
810,742
811,195
812,469
813,474
814,-644
815,-624
816,-981
817,601
818,-261
819,728
820,608
821,560
822,-110
823,209
824,711
825,567
826,240
827,-37
828,-609
829,541
830,682
831,805
832,347
833,366
834,-188
835,377
836,788
837,514
838,501
839,742
840,-277
841,597
842,8
843,431
844,-330
845,512
846,341
847,418
848,148
849,623
850,224
851,662
852,714
853,310
854,310
855,-313
856,-498
857,143
858,52
859,-469
860,-249
861,610
862,450
863,311
864,36
865,-748
866,-7
867,-198
868,195
869,198
870,99
871,-9
872,525
873,-283
874,6
875,562
876,824
877,-11
878,-86
879,82
880,306
881,668
882,1
883,684
884,244
885,72
886,678
887,-35
888,26
889,1
890,-196
891,-175
892,392
893,-46
894,480
895,-401
896,611
897,399
898,544
899,-321
900,522
901,437
902,-800
903,263
904,-1111
905,139
906,307
907,-20
908,-391
909,-48
910,-260
911,484
912,229
913,268
914,-854
915,56
916,123
917,312
918,-643
919,-273
920,-362
921,-481
922,-244
923,420
924,-365
925,186
926,-151
927,378
928,518
929,-211
930,-38
931,-13
932,459
933,528
934,331
935,-664
936,-281
937,-967
938,446
939,618
940,367
941,332
942,535
943,261
944,-974
945,69
946,-26
947,-405
948,-149
949,-1011
950,171
951,475
952,575
953,-426
954,64
955,422
956,0
957,540
958,-764
959,0
960,820
961,1223
962,1069
963,1215
964,814
965,991
966,1119
967,-2
968,932
969,1183
970,1092
971,459
972,977
973,1055
974,1239
975,1033
976,1230
977,1136
978,-5
979,621
980,116
981,996
982,1113
983,1096
984,906
985,603
986,1133
987,842
988,949
989,1254
990,1047
991,1001
992,651
993,1207
994,814
995,1080
996,1159
997,459
998,717
999,1034
1000,-7
1001,1148
1002,538
1003,21
1004,1107
1005,576
1006,1224
1007,118
1008,1157
1009,1036
1010,1234
1011,1102
1012,-127
1013,1025
1014,725
1015,-3
1016,1147
1017,-278
1018,-9
1019,1123
1020,971
1021,995
1022,1143
1023,1008
1024,1159
1025,1188
1026,993
1027,657
1028,828
1029,1127
1030,938
1031,345
1032,1146
1033,1078
1034,1053
1035,1086
1036,1088
1037,798
1038,636
1039,690
1040,976
1041,1074
1042,373
1043,1131
1044,806
1045,895
1046,978
1047,555
1048,738
1049,980
1050,682
1051,703
1052,1114
1053,820
1054,695
1055,-784
1056,876
1057,931
1058,307
1059,785
1060,255
1061,-134
1062,9
1063,704
1064,1082
1065,1087
1066,618
1067,781
1068,572
1069,149
1070,1047
1071,1
1072,1055
1073,1082
1074,447
1075,-244
1076,948
1077,-522
1078,434
1079,1070
1080,61
1081,6
1082,61
1083,92
1084,34
1085,42
1086,17
1087,44
1088,97
1089,17
1090,0
1091,0
1092,6
1093,18
1094,25
1095,31
1096,75
1097,3
1098,17
1099,20
1100,-6
1101,10
1102,40
1103,27
1104,0
1105,44
1106,8
1107,30
1108,3
1109,2
1110,1
1111,17
1112,1
1113,1
1114,7
1115,-3
1116,11
1117,1
1118,-3
1119,-3
1120,2
1121,-1
1122,-13
1123,-4
1124,-3
1125,0
1126,-16
1127,35
1128,-21
1129,-6
1130,37
1131,11
1132,36
1133,1
1134,2
1135,-26
1136,-33
1137,-19
1138,46
1139,-42
1140,-35
1141,-4
1142,-13
1143,-38
1144,7
1145,-18
1146,4
1147,-1
1148,2
1149,0
1150,-1
1151,0
1152,0
1153,-3
1154,0
1155,0
1156,-5
1157,-8
1158,0
1159,-17
1160,15
1161,20
1162,19
1163,14
1164,6
1165,13
1166,11
1167,9
1168,5
1169,3
1170,-1
1171,-1
1172,-3
1173,-2
1174,-4
1175,-8
1176,-9
1177,-9
1178,1
1179,-10
1180,-14
1181,-11
1182,-16
1183,-20
1184,-911
1185,-640
1186,-520
1187,-1033
1188,-533
1189,-503
1190,-753
1191,-793
1192,-603
1193,47
1194,-496
1195,-473
1196,-317
1197,-671
1198,120
1199,-802
1200,288
1201,396
1202,543
1203,-1094
1204,481
1205,-375
1206,43
1207,1084
1208,930
1209,1147
1210,-129
1211,-358
1212,340
1213,-168
1214,-559
1215,-24
1216,-1091
1217,58
1218,-985
1219,-31
1220,-690
1221,-518
1222,378
1223,-207
1224,-31
1225,46
1226,-1090
1227,-174
1228,1003
1229,81
1230,-630
1231,-905
1232,14
1233,57
1234,-686
1235,280
1236,61
1237,303
1238,317
1239,893
1240,-729
1241,-790
1242,-329
1243,752
1244,42
1245,381
1246,-12
1247,59
1248,49
1249,-419
1250,-57
1251,136
1252,-243
1253,-935
1254,254
1255,-189
1256,-916
1257,-702
1258,-364
1259,-513
1260,-259
1261,336
1262,-743
1263,861
1264,-648
1265,-807
1266,192
1267,493
1268,-371
1269,495
1270,475
1271,-369
1272,1088
1273,-334
1274,740
1275,-992
1276,146
1277,2
1278,0
1279,-79
1280,-381
1281,-250
1282,-153
1283,-260
1284,-65
1285,13
1286,271
1287,-253
1288,-181
1289,-483
1290,-152
1291,-222
1292,-593
1293,-462
1294,-238
1295,-572
1296,-706
1297,100
1298,-92
1299,-94
1300,-267
1301,-496
1302,-488
1303,-971
1304,-313
1305,-246
1306,71
1307,-213
1308,10
1309,-13
1310,-94
1311,-265
1312,-68
1313,-144
1314,-919
1315,-638
1316,-740
1317,-457
1318,-39
1319,-656
1320,-80
1321,-593
1322,-91
1323,-182
1324,-495
1325,-169
1326,-511
1327,-232
1328,-217
1329,-71
1330,-440
1331,-131
1332,-259
1333,225
1334,-220
1335,-141
1336,-208
1337,-470
1338,-196
1339,-25
1340,-375
1341,-435
1342,-333
1343,-112
1344,-305
1345,-87
1346,-488
1347,-2
1348,-211
1349,-284
1350,-192
1351,-850
1352,-870
1353,-260
1354,-614
1355,-435
1356,89
1357,-364
1358,-959
1359,-398
1360,-474
1361,-190
1362,-317
1363,-727
1364,-579
1365,-803
1366,-612
1367,-155
1368,72
1369,78
1370,75
1371,71
1372,65
1373,75
1374,15
1375,49
1376,70
1377,68
1378,9
1379,-12
1380,17
1381,-11
1382,45
1383,50
1384,31
1385,34
1386,-27
1387,32
1388,44
1389,43
1390,34
1391,33
1392,34
1393,30
1394,28
1395,1
1396,-19
1397,15
1398,27
1399,29
1400,20
1401,-73
1402,-42
1403,16
1404,9
1405,-8
1406,-8
1407,0
1408,-11
1409,-60
1410,-66
1411,-3
1412,-7
1413,-20
1414,-35
1415,-76
1416,-109
1417,-46
1418,-28
1419,-22
1420,-92
1421,-111
1422,-41
1423,-42
1424,-50
1425,-32
1426,-34
1427,-37
1428,-37
1429,-35
1430,-44
1431,-74
1432,-45
1433,-60
1434,-32
1435,-118
1436,-121
1437,-59
1438,-58
1439,-60
1440,-142
1441,-111
1442,-64
1443,-36
1444,-67
1445,-150
1446,-23
1447,-146
1448,-147
1449,-94
1450,-404
1451,-78
1452,66
1453,-485
1454,-317
1455,-394
1456,-323
1457,-99
1458,-18
1459,68
1460,-12
1461,-574
1462,87
1463,-623
1464,-374
1465,-374
1466,-250
1467,-544
1468,-441
1469,-104
1470,98
1471,-445
1472,-274
1473,-396
1474,-350
1475,-288
1476,44
1477,58
1478,58
1479,-480
1480,129
1481,122
1482,-516
1483,-461
1484,-411
1485,-417
1486,-626
1487,2
1488,0
1489,-409
1490,-186
1491,-222
1492,-507
1493,-9
1494,-322
1495,-589
1496,-368
1497,-364
1498,-185
1499,-359
1500,-695
1501,28
1502,-223
1503,-252
1504,53
1505,-191
1506,-24
1507,-512
1508,-61
1509,0
1510,-15
1511,-710
1512,97
1513,24
1514,-128
1515,-525
1516,-514
1517,-382
1518,-122
1519,-122
1520,-482
1521,-651
1522,-440
1523,0
1524,-928
1525,-105
1526,9
1527,-437
1528,-157
1529,-535
1530,-365
1531,-129
1532,-247
1533,-406
1534,-487
1535,-16
1536,30
1537,-508
1538,-301
1539,-648
1540,-467
1541,-7
1542,-78
1543,-80
1544,-750
1545,-1
1546,-451
1547,90
1548,-739
1549,-448
1550,-962
1551,-337
1552,-211
1553,-100
1554,-1020
1555,-99
1556,-761
1557,-313
1558,-223
1559,-373
1560,-767
1561,-59
1562,-569
1563,-696
1564,-480
1565,-471
1566,-8
1567,-269
1568,-623
1569,-177
1570,-34
1571,-993
1572,-402
1573,-1034
1574,-1
1575,-95
1576,-491
1577,-71
1578,-416
1579,-959
1580,-50
1581,-4
1582,-688
1583,-26
1584,-24
1585,-185
1586,-786
1587,-594
1588,-885
1589,-845
1590,-19
1591,-1027
1592,-446
1593,-721
1594,-695
1595,-152
1596,-907
1597,-666
1598,-514
1599,-69
1600,-163
1601,-42
1602,-62
1603,-482
1604,-56
1605,-938
1606,-904
1607,-1120
1608,-162
1609,-465
1610,-874
1611,-493
1612,-731
1613,-1
1614,-1027
1615,25
1616,-1
1617,-976
1618,-47
1619,-369
1620,-773
1621,32
1622,23
1623,17
1624,0
1625,1
1626,5
1627,2
1628,1
1629,2
1630,35
1631,8
1632,0
1633,30
1634,11
1635,3
1636,2
1637,19
1638,8
1639,26
1640,7
1641,7
1642,17
1643,0
1644,20
1645,0
1646,0
1647,13
1648,4
1649,3
1650,4
1651,2
1652,1
1653,-2
1654,-3
1655,0
1656,-10
1657,0
1658,-25
1659,0
1660,11
1661,2
1662,-1
1663,0
1664,-11
1665,0
1666,3
1667,0
1668,-3
1669,0
1670,12
1671,-1
1672,0
1673,0
1674,-1
1675,-3
1676,-1
1677,-2
1678,6
1679,-2
1680,-6
1681,-9
1682,-1
1683,-3
1684,0
1685,-4
1686,-12
1687,-5
1688,-11
1689,-11
1690,-12
1691,-30
1692,-6
1693,-8
1694,-18
1695,0
1696,-14
1697,0
1698,-7
1699,-27
1700,-13
1701,-10
1702,-2
1703,0
1704,-5
1705,1
1706,-3
1707,1
1708,-5
1709,-20
1710,-8
1711,-5
1712,0
1713,-12
1714,465
1715,329
1716,117
1717,554
1718,-6
1719,-11
1720,-529
1721,-52
1722,-17
1723,202
1724,15
1725,-33
1726,-14
1727,-172
1728,337
1729,-3
1730,388
1731,12
1732,7
1733,4
1734,0
1735,4
1736,-2
1737,-1
1738,-3
1739,-7
1740,-3
1741,17
1742,16
1743,16
1744,14
1745,6
1746,4
1747,8
1748,6
1749,4
1750,3
1751,-1
1752,-3
1753,-5
1754,-7
1755,-8
1756,-10
1757,-5
1758,-12
1759,-14
