Node,Degree_Difference
0,0
1,6
2,17
3,24
4,2
5,16
6,0
7,18
8,10
9,10
10,2
11,14
12,0
13,0
14,-1
15,-1
16,7
17,10
18,0
19,1
20,2
21,9
22,8
23,4
24,0
25,-2
26,3
27,0
28,0
29,-4
30,-10
31,-3
32,0
33,0
34,2
35,1
36,-4
37,-3
38,-8
39,-10
40,-7
41,-10
42,-7
43,0
44,-1
45,-12
46,0
47,-14
48,-8
49,-14
50,-7
51,-8
52,-23
53,0
54,-9
55,-5
56,-2
57,-7
58,-28
59,-13
60,0
61,-11
62,-22
63,-7
64,-31
65,0
66,0
67,-22
68,3
69,62
70,152
71,37
72,26
73,128
74,63
75,144
76,202
77,113
78,89
79,104
80,25
81,173
82,8
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,16
159,0
160,0
161,9
162,11
163,0
164,16
165,0
166,11
167,11
168,-1
169,8
170,0
171,2
172,0
173,4
174,6
175,0
176,0
177,4
178,3
179,0
180,0
181,0
182,10
183,0
184,2
185,6
186,2
187,6
188,5
189,0
190,1
191,2
192,-6
193,-3
194,-1
195,-4
196,-9
197,-6
198,-6
199,-12
200,-10
201,-4
202,0
203,0
204,0
205,0
206,-10
207,-13
208,0
209,-5
210,0
211,-6
212,164
213,-19
214,0
215,0
216,1
217,0
218,-1
219,0
220,0
221,0
222,0
223,1
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,1
233,0
234,0
235,0
236,0
237,1
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,-2
247,0
248,0
249,0
250,0
251,-1
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,2
281,4
282,1
283,0
284,0
285,-2
286,-2
287,-3
288,1
289,0
290,-1
291,0
292,28
293,-59
294,-6
295,-49
296,47
297,64
298,-53
299,20
300,6
301,-2
302,48
303,-52
304,-8
305,-33
306,10
307,-12
308,42
309,-28
310,-24
311,-34
312,5
313,10
314,-47
315,-56
316,-26
317,4
318,-34
319,30
320,-24
321,48
322,-44
323,-16
324,-50
325,32
326,20
327,4
328,-46
329,-61
330,-8
331,26
332,-20
333,32
334,63
335,56
336,26
337,2
338,-32
339,59
340,44
341,61
342,20
343,50
344,14
345,-36
346,40
347,14
348,-4
349,58
350,53
351,38
352,-63
353,-34
354,-66
355,36
356,-22
357,-18
358,-42
359,-94
360,1
361,0
362,34
363,-53
364,-94
365,-245
366,-270
367,50
368,-299
369,478
370,-141
371,-95
372,118
373,119
374,-39
375,-15
376,164
377,-97
378,128
379,-134
380,-81
381,-260
382,33
383,327
384,127
385,150
386,347
387,-22
388,-76
389,379
390,-150
391,603
392,0
393,132
394,-200
395,231
396,343
397,-342
398,360
399,19
400,-34
401,412
402,531
403,-111
404,29
405,217
406,236
407,514
408,101
409,62
410,-266
411,-22
412,103
413,455
414,518
415,-183
416,443
417,-360
418,542
419,-130
420,-2
421,520
422,-169
423,308
424,159
425,448
426,-140
427,-80
428,25
429,135
430,337
431,-361
432,-127
433,349
434,313
435,169
