Node,Divergence
0,0
1,-2
2,64
3,5
4,2
5,1
6,-2
7,0
8,11
9,2
10,12
11,4
12,0
13,-14
14,0
15,80
16,4
17,-6
18,-12
19,3
20,-1
21,-21
22,4
23,5
24,30
25,62
26,-1
27,-31
28,-12
29,0
30,0
31,168
32,-2
33,4
34,70
35,172
36,2
37,6
38,0
39,7
40,0
41,26
42,3
43,4
44,1
45,43
46,-134
47,0
48,78
49,-105
50,-7
51,-39
52,17
53,78
54,8
55,1
56,0
57,-26
58,4
59,-4
60,4
61,-3
62,-26
63,291
64,0
65,-29
66,-26
67,0
68,11
69,49
70,11
71,0
72,-2
73,-4
74,12
75,89
76,44
77,83
78,-2
79,45
80,41
81,28
82,47
83,48
84,-51
85,233
86,13
87,100
88,0
89,-4
90,29
91,-29
92,7
93,5
94,0
95,6
96,105
97,0
98,158
99,100
100,4
101,38
102,-2
103,1
104,0
105,46
106,70
107,133
108,-2
109,1
110,0
111,7
112,20
113,-10
114,2
115,23
116,-10
117,183
118,42
119,22
120,79
121,-5
122,14
123,-15
124,-8
125,83
126,2
127,94
128,16
129,-13
130,18
131,10
132,0
133,24
134,7
135,0
136,-1
137,4
138,-1
139,0
140,0
141,1
142,-1
143,4
144,-3
145,-3
146,-1
147,44
148,-3
149,5
150,94
151,51
152,-1
153,25
154,0
155,108
156,1
157,5
158,0
159,73
160,-14
161,2
162,-16
163,26
164,-8
165,0
166,-2
167,-20
168,-1
169,2
170,20
171,-5
172,-42
173,-3
174,8
175,1
176,43
177,-7
178,27
179,-2
180,-6
181,-25
182,4
183,-20
184,6
185,-18
186,12
187,27
188,3
189,-2
190,3
191,6
192,-2
193,-1
194,16
195,-35
196,-5
197,5
198,-22
199,3
200,-6
201,4
202,-55
203,-15
204,-6
205,-5
206,5
207,-6
208,-2
209,0
210,8
211,-15
212,1
213,-6
214,-3
215,-8
216,102
217,19
218,16
219,0
220,8
221,-4
222,160
223,-1
224,19
225,0
226,10
227,0
228,5
229,16
230,13
231,0
232,36
233,15
234,12
235,-15
236,3
237,6
238,-7
239,20
240,4
241,78
242,-47
243,0
244,4
245,24
246,56
247,0
248,49
249,-2
250,0
251,110
252,-1
253,62
254,112
255,62
256,8
257,-1
258,3
259,-6
260,5
261,-14
262,2
263,0
264,12
265,-1
266,0
267,19
268,13
269,1
270,0
271,0
272,10
273,8
274,-2
275,3
276,-27
277,10
278,1
279,120
280,33
281,58
282,5
283,63
284,77
285,33
286,-32
287,19
288,75
289,149
290,14
291,-8
292,61
293,-15
294,-56
295,-10
296,71
297,45
298,-5
299,-4
300,-8
301,17
302,103
303,7
304,83
305,-22
306,135
307,-3
308,2
309,-19
310,-53
311,-4
312,24
313,-97
314,3
315,1
316,42
317,-16
318,-12
319,147
320,11
321,50
322,-10
323,-11
324,-6
325,40
326,124
327,26
328,-96
329,12
330,-15
331,115
332,-77
333,41
334,22
335,24
336,-7
337,-17
338,5
339,112
340,52
341,32
342,128
343,136
344,65
345,16
346,56
347,-61
348,-30
349,80
350,94
351,1
352,7
353,-25
354,4
355,35
356,-20
357,1
358,-100
359,74
360,68
361,74
362,37
363,19
364,1
365,63
366,62
367,50
368,106
369,33
370,63
371,96
372,34
373,7
374,51
375,106
376,96
377,40
378,-14
379,2
380,80
381,5
382,24
383,-8
384,-6
385,11
386,78
387,91
388,-6
389,23
390,16
391,54
392,32
393,41
394,51
395,17
396,65
397,8
398,97
399,5
400,10
401,-8
402,8
403,62
404,72
405,12
406,14
407,20
408,1
409,1
410,-4
411,0
412,-5
413,3
414,61
415,26
416,80
417,0
418,6
419,-13
420,-20
421,41
422,3
423,-8
424,-14
425,-11
426,0
427,7
428,0
429,78
430,27
431,-16
432,28
433,21
434,-19
435,-17
436,-18
437,24
438,-25
439,-21
440,2
441,-30
442,19
443,17
444,-36
445,-7
446,-12
447,-49
448,-31
449,0
450,-27
451,20
452,-31
453,-3
454,-7
455,-16
456,-43
457,-28
458,2
459,-36
460,-19
461,-26
462,-10
463,-5
464,60
465,-52
466,17
467,-40
468,-36
469,-57
470,-59
471,-1
472,-12
473,-15
474,-51
475,-63
476,1
477,14
478,-82
479,-93
480,-93
481,-54
482,1
483,-8
484,-50
485,1
486,0
487,-27
488,-79
489,-2
490,-94
491,-51
492,-82
493,-62
494,-95
495,-77
496,-15
497,3
498,-66
499,-91
500,-70
501,-2
502,41
503,-42
504,6
505,-78
506,-78
507,-74
508,-119
509,-104
510,-77
511,33
512,110
513,21
514,-78
515,4
516,-5
517,-97
518,16
519,0
520,48
521,1
522,3
523,53
524,-230
525,-8
526,5
527,100
528,5
529,52
530,331
531,-2
532,-8
533,-60
534,16
535,-10
536,16
537,24
538,-6
539,218
540,36
541,22
542,270
543,112
544,6
545,-7
546,65
547,-11
548,160
549,-148
550,-162
551,-2
552,7
553,-8
554,-8
555,4
556,26
557,-32
558,2
559,-51
560,10
561,0
562,8
563,95
564,123
565,-55
566,401
567,105
568,222
569,31
570,1
571,36
572,315
573,-25
574,60
575,144
576,93
577,65
578,174
579,32
580,12
581,-81
582,-75
583,104
584,4
585,1
586,58
587,112
588,-132
589,21
590,-185
591,1
592,17
593,4
594,1
595,21
596,4
597,2
598,33
599,-1
600,1
601,34
602,18
603,18
604,-157
605,-96
606,0
607,-5
608,7
609,-114
610,13
611,24
612,8
613,73
614,234
615,-1
616,76
617,-1
618,15
619,24
620,40
621,36
622,134
623,66
624,61
625,78
626,4
627,-1
628,6
629,52
630,-1
631,1
632,-4
633,12
634,-19
635,3
636,-95
637,4
638,1
639,146
640,7
641,260
642,5
643,10
644,198
645,10
646,77
647,2
648,33
649,10
650,29
651,-3
652,-21
653,94
654,19
655,-1
656,70
657,45
658,3
659,72
660,-2
661,27
662,70
663,3
664,-9
665,14
666,21
667,0
668,37
669,4
670,4
671,-27
672,-113
673,26
674,6
675,3
676,26
677,40
678,9
679,3
680,13
681,37
682,-96
683,-2
684,-75
685,11
686,53
687,-32
688,4
689,160
690,1
691,22
692,8
693,1
694,2
695,3
696,9
697,0
698,-15
699,-59
700,0
701,34
702,0
703,1
704,-51
705,84
706,9
707,21
708,-3
709,-149
710,3
711,46
712,24
713,5
714,9
715,-3
716,141
717,-1
718,-2
719,-5
720,0
721,5
722,-70
723,0
724,-28
725,2
726,238
727,-52
728,-148
729,0
730,2
731,8
732,3
733,1
734,40
735,-12
736,-17
737,67
738,-5
739,-45
740,-17
741,-1
742,180
743,-19
744,-2
745,18
746,-5
747,20
748,-2
749,-30
750,287
751,5
752,2
753,2
754,1
755,5
756,-3
757,-7
758,45
759,25
760,192
761,-35
762,3
763,7
764,29
765,67
766,-45
767,3
768,-4
769,35
770,21
771,16
772,7
773,243
774,186
775,0
776,15
777,15
778,42
779,124
780,8
781,-1
782,-55
783,64
784,-18
785,7
786,200
787,-70
788,18
789,48
790,4
791,265
792,110
793,44
794,62
795,9
796,-42
797,-102
798,-183
799,171
800,29
801,3
802,276
803,-156
804,122
805,130
806,1
807,12
808,79
809,88
810,116
811,39
812,37
813,3
814,3
815,320
816,12
817,95
818,44
819,-15
820,-30
821,2
822,-49
823,-94
824,-51
825,1
826,181
827,-16
828,49
829,159
830,70
831,11
832,18
833,-25
834,221
835,-290
836,200
837,10
838,-1
839,182
840,7
841,78
842,-48
843,-16
844,12
845,15
846,7
847,91
848,5
849,-2
850,81
851,57
852,220
853,1
854,-2
855,136
856,-14
857,12
858,-187
859,31
860,-56
861,25
862,2
863,-5
864,72
865,39
866,255
867,-4
868,32
869,-16
870,36
871,41
872,36
873,8
874,31
875,262
876,-70
877,30
878,34
879,49
880,57
881,-132
882,-64
883,12
884,0
885,33
886,167
887,6
888,6
889,25
890,71
891,1
892,-1
893,25
894,-11
895,135
896,51
897,-3
898,14
899,-7
900,8
901,-63
902,74
903,-136
904,-13
905,11
906,93
907,7
908,-317
909,21
910,4
911,1
912,4
913,-115
914,32
915,19
916,3
917,-20
918,54
919,-91
920,-148
921,75
922,158
923,-203
924,19
925,-236
926,-70
927,21
928,12
929,17
930,-19
931,191
932,-32
933,9
934,-3
935,14
936,327
937,14
938,20
939,-5
940,-12
941,-4
942,-1
943,-23
944,-353
945,-171
946,-198
947,45
948,-17
949,97
950,13
951,96
952,18
953,5
954,0
955,-6
956,-163
957,-38
958,3
959,-15
960,8
961,73
962,0
963,-1
964,176
965,12
966,10
967,1
968,-36
969,197
970,15
971,6
972,8
973,2
974,-15
975,100
976,-15
977,4
978,1
979,5
980,9
981,-16
982,36
983,2
984,5
985,5
986,-21
987,27
988,7
989,158
990,3
991,5
992,151
993,35
994,0
995,0
996,3
997,-7
998,-2
999,0
1000,1
1001,-1
1002,87
1003,45
1004,94
1005,1
1006,1
1007,14
1008,-105
1009,-15
1010,133
1011,-6
1012,-3
1013,-87
1014,-1
1015,14
1016,2
1017,3
1018,0
1019,221
1020,1
1021,-129
1022,144
1023,-354
1024,-126
1025,94
1026,130
1027,9
1028,15
1029,3
1030,25
1031,50
1032,0
1033,116
1034,19
1035,68
1036,1
1037,3
1038,-1
1039,33
1040,-2
1041,-12
1042,33
1043,50
1044,5
1045,11
1046,1
1047,17
1048,-2
1049,17
1050,-260
1051,8
1052,28
1053,-17
1054,3
1055,1
1056,-3
1057,-71
1058,2
1059,4
1060,3
1061,-147
1062,22
1063,0
1064,1
1065,6
1066,3
1067,0
1068,-4
1069,8
1070,44
1071,0
1072,216
1073,1
1074,0
1075,3
1076,144
1077,77
1078,41
1079,0
1080,83
1081,33
1082,-30
1083,14
1084,20
1085,-15
1086,2
1087,13
1088,26
1089,67
1090,6
1091,12
1092,6
1093,-1
1094,4
1095,-19
1096,-20
1097,32
1098,-3
1099,11
1100,-6
1101,-6
1102,61
1103,-32
1104,0
1105,21
1106,77
1107,30
1108,8
1109,-26
1110,-3
1111,-1
1112,6
1113,2
1114,1
1115,3
1116,1
1117,-6
1118,-10
1119,-36
1120,-21
1121,8
1122,8
1123,-20
1124,-41
1125,-4
1126,-40
1127,-17
1128,-32
1129,-18
1130,-1
1131,-29
1132,-58
1133,-43
1134,-13
1135,-4
1136,-63
1137,-39
1138,-36
1139,-3
1140,-63
1141,-13
1142,1
1143,4
1144,-14
1145,8
1146,106
1147,0
1148,-2
1149,-91
1150,22
1151,74
1152,253
1153,3
1154,19
1155,1
